,wind_code,sec_name,ar_by_buyer_name,ar_buyer_standard,ar_buyer_subid,cus_name,cus_name_standard,cus_name_subid,ar_buyer_region,cus_region,match_score
736400,688085.SH,三友医疗,北京英普朗特科贸有限公司,北京英普朗特科贸有限公司,1,北京英普朗特科贸有限公司,北京英普朗特科贸有限公司,5,北京,北京,100
736449,688085.SH,三友医疗,杭州建哲医药科技有限公司,杭州建哲医药科技有限公司,5,杭州建哲医药科技有限公司,杭州建哲医药科技有限公司,6,杭州,杭州,100
736486,688085.SH,三友医疗,泉州市正骨医院,泉州市正骨医院,8,泉州市正骨医院,泉州市正骨医院,7,泉州,泉州,100
736499,688085.SH,三友医疗,西安交通大学第一附属医院,西安交通大学第一附属医院,9,西安交通大学第一附属医院,西安交通大学第一附属医院,8,西安,西安,100
736512,688085.SH,三友医疗,西安市红会医院,西安市红会医院,10,西安市红会医院,西安市红会医院,9,西安,西安,100
736537,688085.SH,三友医疗,陕西恒尚医疗科技有限公司,陕西恒尚医疗科技有限公司,12,陕西恒尚医疗科技有限公司 (原西安市红会医院配送商),陕西恒尚医疗科技有限公司 (原西安市红会医院配送商),10,陕西,陕西,100
736550,688085.SH,三友医疗,陕西省人民医院,陕西省人民医院,13,陕西省人民医院,陕西省人民医院,11,陕西,陕西,100
736564,688087.SH,英科再生,BP Industries Inc.,BP Industries Inc.,1,BP Industries Inc.,BP Industries Inc.,1,,,100
736574,688087.SH,英科再生,Darice Global Sourcing SaRL,Darice Global Sourcing SaRL,2,Darice Global Sourcing SaRL.,Darice Global Sourcing SaRL.,2,,,100
736583,688087.SH,英科再生,Darice Global Sourcing SaRL.,Darice Global Sourcing SaRL.,3,Darice Global Sourcing SaRL.,Darice Global Sourcing SaRL.,2,,,100
736602,688087.SH,英科再生,Enchante Accessories Inc.,Enchante Accessories Inc.,5,Enchante Accessories Inc.,Enchante Accessories Inc.,3,,,100
736612,688087.SH,英科再生,Lf Centennial Pte.Ltd.,Lf Centennial Pte.Ltd.,6,Lf Centennial Pte.Ltd.,Lf Centennial Pte.Ltd.,4,,,100
736631,688087.SH,英科再生,"Nielsen Bainbridge Group, LLC.","Nielsen Bainbridge Group, LLC.",8,"Nielsen Bainbridge Group, LLC.","Nielsen Bainbridge Group, LLC.",5,,,100
736641,688087.SH,英科再生,"Wal-Mart stores, Inc.","Wal-Mart stores, Inc.",9,"Wal-Mart Stores, Inc.","Wal-Mart Stores, Inc.",6,,,95
736642,688087.SH,英科再生,"Wal-Mart stores, Inc.","Wal-Mart stores, Inc.",9,"Wal-Mart stores, Inc.","Wal-Mart stores, Inc.",7,,,100
736646,688089.SH,嘉必优,伊利及所属企业,伊利及所属企业,1,伊利及所属企业,伊利及所属企业,2,,,100
736655,688089.SH,嘉必优,嘉吉及所属企业,嘉吉及所属企业,2,嘉吉及所属企业,嘉吉及所属企业,3,,,100
736672,688089.SH,嘉必优,沃尔夫坎亚及其,沃尔夫坎亚及其,4,沃尔夫坎亚及其关联方,沃尔夫坎亚及其关联方,4,,,100
736682,688089.SH,嘉必优,蒙牛及所属企业,蒙牛及所属企业,5,蒙牛及所属企业,蒙牛及所属企业,6,,,100
736691,688089.SH,嘉必优,贝因美及所属企业,贝因美及所属企业,6,贝因美及所属企业,贝因美及所属企业,7,,,100
736700,688089.SH,嘉必优,飞鹤及所属企业,飞鹤及所属企业,7,飞鹤及所属企业,飞鹤及所属企业,8,,,100
736768,688090.SH,瑞松科技,广汽三菱汽车有限公司,广汽三菱汽车有限公司,6,广汽三菱汽车有限公司,广汽三菱汽车有限公司,2,,,100
736779,688090.SH,瑞松科技,广汽丰田汽车有限公司,广汽丰田汽车有限公司,7,广汽丰田汽车有限公司,广汽丰田汽车有限公司,3,,,100
